id	qihao	riqi	shunxu1	shunxu2	shunxu3	shunxu4	shunxu5	shunxu6	lan	hsorts	hmd5	amd5
96	204007	2004-01-29	25	12	17	28	20	4	9	4,12,17,20,25,28	01273f313c3d67801a3394ed3f55abc6	6810c5df45a35c058d2a065bbe770b7b
97	204008	2004-02-01	1	33	32	22	10	7	13	1,7,10,22,32,33	c9eec0ddaa77083f012c7dac76d670c4	2f32f2c1f8038cc747bc1d37fa29f662
98	204009	2004-02-05	16	10	9	24	1	22	11	1,9,10,16,22,24	5635b2c160e1885d625c5d31605ce2ae	6f13f31bc5c26eee144de5b310b9a570
99	204010	2004-02-08	19	7	14	13	8	6	15	6,7,8,13,14,19	4e2be2c6114595ec0805110ccc78de51	824d9fe521b8ecb8076be40964be0f3b
100	204011	2004-02-12	28	13	4	1	23	30	3	1,4,13,23,28,30	fc1b02c4b9c1381e07af890b118bd173	8ae08137d08d10ca494f287cf6f47348
101	204012	2004-02-15	31	33	7	30	1	27	8	1,7,27,30,31,33	df365b93afa20bccf5d0946ac6b73e92	b6f0e801d2e00fbe0dd1b8b74962139d
102	204013	2004-02-19	21	29	14	12	30	32	13	12,14,21,29,30,32	fe7b1d875341775ff9dd31e181f5c10a	b1de8a518ab82af25c8158f9e162892d
103	204014	2004-02-22	7	26	11	3	20	17	12	3,7,11,17,20,26	467feef464749c1e731853f5f929839f	7899519138157ddccc477f3874e890ee
104	204015	2004-02-26	22	23	1	5	18	3	13	1,3,5,18,22,23	3cb79a93fd6540c92c238a567ca33925	14992f52a3e6826e0d7a6de7ff28ba2e
105	204016	2004-02-29	30	32	4	28	8	7	5	4,7,8,28,30,32	da34a04ab4d9f8b8c40eb05f8b655277	5e7b24c6446ad883d427d22226f01ad5
106	204017	2004-03-04	15	31	25	12	14	5	9	5,12,14,15,25,31	e886c1f9bca7ec50edf4a99412c0b15a	e859488ac3638761bce31a73eb4c364d
107	204018	2004-03-07	5	6	28	8	2	30	6	2,5,6,8,28,30	61ee5e9af80dd29e6c4ed4a9e414654a	69ac51280d25159217c6d29b281017f1
108	204019	2004-03-11	11	24	32	23	5	10	4	5,10,11,23,24,32	e6ccd81ecd7b8bf7e280b0b8c3947f5a	564583bedfb99ed1ea759af3d8bc029e
109	204020	2004-03-14	22	1	31	2	28	9	4	1,2,9,22,28,31	f13ce949ddf5990a96ba71f5c8b0082c	9d3c7e81641615004088a2c3184e5e07
110	204021	2004-03-18	26	5	9	27	17	11	10	5,9,11,17,26,27	272e538d1aea7e21f62150e8a701f917	625e7ec714cd3787cf5ac4a712aff3dc
111	204022	2004-03-21	30	14	10	3	20	19	6	3,10,14,19,20,30	4dfe91a21ca6109ced27a229e4dd3dd0	fa42c5a614fb6a12fe059183b95340d0
112	204023	2004-03-25	30	14	19	1	8	17	3	1,8,14,17,19,30	b745d6916d3236617e47d86126fde92d	2c5572e07d56cf8679f36b3e8784e9c4
113	204024	2004-03-28	25	21	13	32	23	1	6	1,13,21,23,25,32	1bf49b7bc7c8bf178e74f92595699d91	c9679ec1501a00148bce2cf2237b5434
114	204025	2004-04-01	33	10	8	29	24	7	4	7,8,10,24,29,33	a5a6f955a358de9ec2526458b1cc760a	7bd25b954d868883292d743be92dc5ca
115	204026	2004-04-04	28	4	10	32	18	14	15	4,10,14,18,28,32	14423ba7c53317b5c0093f7ef3914937	de461b4a93bc0189a08953e8d0ee1228
116	204027	2004-04-08	5	32	1	9	10	18	11	1,5,9,10,18,32	5eb7e2e92852d2eeb726a2621d07e007	3db7bba752c3815801fb0e4dfff618ca
117	204028	2004-04-11	10	2	1	3	5	22	12	1,2,3,5,10,22	cd4c729a1d8d2a68f0893073fb9bc9d5	80b4021446c9b482ff41eab6bd45078e
118	204029	2004-04-15	13	32	22	24	20	9	5	9,13,20,22,24,32	e5f9becdd5d6b6877ff8438b991a74e6	90f14135b0b978f4677af95691758948
119	204030	2004-04-18	26	17	1	31	9	7	5	1,7,9,17,26,31	36b20d5616c142ce7f52a27393d1bf84	d5d9c653daf1f681078ecdf922acbb2e
120	204031	2004-04-22	21	24	19	6	20	3	11	3,6,19,20,21,24	621a724e3d2ca9a71710c38d28a0a3a1	cd025b058f662cbd2c0c0688039973a6
121	204032	2004-04-25	2	15	8	31	11	5	13	2,5,8,11,15,31	563a4207019a63ae5ee8e110777e0765	ec6f9b0a7a06657ea605535e58daad3d
122	204033	2004-04-29	4	9	8	20	1	19	1	1,4,8,9,19,20	d69c1a3302b26e76c2daee0a20a76748	329298595656f176eb8a3d4978bbe8a2
123	204034	2004-05-02	2	20	7	30	13	27	14	2,7,13,20,27,30	5ac0daf2ff3e52e6de35fe0c666ecfeb	4865b9efb979750cc89fead444c75bbc
124	204035	2004-05-06	8	30	27	32	26	2	16	2,8,26,27,30,32	4c4791797eb974f74436c088302bf44b	12c70ed63fcc438106f94b9a921c86d1
125	204036	2004-05-09	2	13	26	30	18	17	1	2,13,17,18,26,30	45da973ab263afda95ba70bfe10d84ba	5f564ccf8876300cb3a3c29fb5a715f4
126	204037	2004-05-13	26	4	11	17	20	3	5	3,4,11,17,20,26	13e99aff4cf1b0c7a6b1f89493efa288	34c39eb96fe7c89f28e0294a8378ad24
127	204038	2004-05-16	29	11	25	17	16	28	7	11,16,17,25,28,29	ba25095e8a9b5481fd47892e9c9ef529	a88b4d8571fd2c9865e65cd53518b769
128	204039	2004-05-20	29	25	18	16	10	26	3	10,16,18,25,26,29	7572c5ebe166e24cb6bab0e61994834e	e6d03ed4b7a4a01e8145d9e09b9f37bb
129	204040	2004-05-23	7	29	21	17	19	20	11	7,17,19,20,21,29	1087088b2e013ea106e5b1b6fc0c8698	a72ee18d48bcf6b0b27abf205beb530e
130	204041	2004-05-27	17	25	29	22	10	8	14	8,10,17,22,25,29	6db78e69416d7d9542fd9e410fa6d9f2	75784a635567bd9e6f4adae3667c5d80
131	204042	2004-05-30	6	10	21	17	13	18	2	6,10,13,17,18,21	71a9fa130e4042b97104f9f9ef647e28	705cc38f18db2919da7a1fbb7473e0f1
132	204043	2004-06-03	9	10	24	21	4	22	10	4,9,10,21,22,24	86607fadb0e2d048e329e3317d719e24	f006fa9c22898636aaeb80842485ae09
133	204044	2004-06-06	12	6	7	31	32	2	5	2,6,7,12,31,32	241a7aeeae3f908d13c594ac1915e40f	d40e753422b05f379681996afb7b0727
134	204045	2004-06-10	26	1	18	27	12	28	13	1,12,18,26,27,28	5e02b0b2fca97164640514f1600ddca3	616ab558fd5631d4f693e9d0663223cb
135	204046	2004-06-13	15	16	23	7	32	22	14	7,15,16,22,23,32	11b78e796eb6fec79b441ef6cd3a48b3	e87ee1fd5a0394cb586c2ecf367dd67b
136	204047	2004-06-17	8	27	31	11	1	7	6	1,7,8,11,27,31	4481f26fcc9ff7bf405641be03f06047	071b3815dc9f23af05f288b1d861cd27
137	204048	2004-06-20	29	11	8	17	9	16	9	8,9,11,16,17,29	daddfc658b4bdf376a65597a21b35bda	5e9d94d939052523241039f8bd36d401
138	204049	2004-06-24	14	11	25	12	29	16	9	11,12,14,16,25,29	051424ad7c175b3a8700edc72ada955e	0d2c6a49959f9486304780d9d2f0d506
